x    y    label
4    6    a
4.5  4    a
4.5  5    a
5    6.25 a
5    5.5  a
5    4.5  a
5.5  5.5  a
6    6    a
6    5    a
6    4    a
2.5  8    b
3    9    b
3.5  8.5  b
3.5  7.5  b
4.5  9    b
4.5  8.25 b
5    8    b
5.25 7.5  b
6    8    b
6.5  9    b
0.5  5    c
1    6.5  c
1.5  4.5  c
1.5  5.5  c
2    3    c
2    6    c
2.5  2.5  c
2.5  4    c
2.5  5    c
3    3.5  c
4    1.5  d
4.5  2    d
4.5  3    d
5    2.5  d
5.5  1.5  d
5.75 1    d
6    2.5  d
6.5  1.75 d
6.75 2.5  d
8    2    d
7.5  4    e
7.5  6    e
8    5    e
8    6.5  e
8.5  3.5  e
8.5  4    e
8.5  5    e
8.5  7    e
9    6    e
9.5  4.5  e
