x	y	label
-0.9261	-0.032	b
-0.4447	0.2944	ao
-0.7905	-0.4646	b
0.7768	0.4799	bo
0.099	0.3629	ao
-0.5101	-0.738	b
-0.7386	-0.3892	b
0.6321	-0.6601	b
-0.3273	-0.7578	b
-0.8051	0.051	bo
0.3318	0.4367	ao
-0.1996	0.8686	bo
-0.2467	0.7749	bo
0.2696	0.0896	ao
-0.1973	-0.4013	a
0.4569	-0.2065	a
-0.1915	0.5436	ao
-0.1899	0.8932	bo
0.0069	0.0285	ao
-0.3535	-0.2579	a
0.8431	-0.0217	b
0.197	-0.0983	a
-0.9045	0.0145	bo
-0.0859	0.8797	bo
-0.4791	0.8522	bo
0.9169	-0.1736	b
-0.9363	-0.2969	b
0.0401	-0.4145	a
0.2024	0.7885	bo
-0.0038	-0.0258	a
-0.0819	-0.0448	a
0.2206	-0.4588	a
0.3668	0.0475	ao
0.7677	0.4793	bo
-0.935	-0.1001	b
0.4134	-0.9034	b
0.0785	-0.0784	a
0.1914	0.9222	bo
0.5334	-0.6306	b
-0.7579	0.3296	bo
0.7553	0.5698	bo
-0.2862	0.8684	bo
-0.4829	0.8698	bo
0.8997	-0.2679	b
-0.0415	0.181	ao
-0.51	0.1891	ao
0.5423	0.2498	ao
0.175	0.4902	ao
0.3869	-0.3902	a
0.6567	0.552	bo
-0.1358	0.5826	ao
-0.1031	-0.2392	a
-0.2357	0.4638	ao
0.4545	-0.0661	a
-0.7104	0.5817	bo
-0.2447	0.0028	ao
-0.0222	-0.0574	a
0.7787	0.1845	bo
0.9191	-0.2451	b
0.8634	0.2352	bo
-0.0114	0.4615	ao
0.4377	-0.3793	a
-0.943	-0.2426	b
0.8195	0.2812	bo
-0.11	0.3261	ao
-0.1712	-0.3512	a
0.6864	-0.6732	b
0.277	-0.9545	b
0.7497	0.4467	bo
-0.1274	0.5724	ao
0.2315	0.1269	ao
-0.1828	0.3684	ao
0.0782	0.4578	ao
-0.1228	-0.2668	a
-0.2273	-0.8931	b
0.2525	-0.3859	a
-0.4228	-0.755	b
0.6353	0.6024	bo
-0.1254	-0.4861	a
0.9422	-0.0663	b
-0.1315	-0.4689	a
-0.3882	0.416	ao
-0.8162	-0.3513	b
-0.041	0.1723	ao
-0.2632	0.1194	ao
-0.1819	0.3269	ao
0.4023	0.7212	bo
-0.2699	-0.1582	a
-0.3698	0.7419	bo
-0.4755	0.3343	ao
0.0364	0.9208	bo
0.4684	-0.2166	a
-0.8091	-0.5491	b
0.8466	-0.1101	b
-0.1642	-0.4514	a
-0.3346	0.7662	bo
-0.1524	0.5724	ao
-0.4518	-0.6798	b
-0.1482	-0.8495	b
-0.6862	0.578	bo
0.5322	0.8379	bo
0.0283	-0.0406	a
0.3818	-0.86	b
0.0018	0.3233	ao
0.834	0.3258	bo
0.9016	0.301	bo
0.8398	0.4064	bo
-0.4133	0.7883	bo
0.0713	-0.8965	b
-0.5649	0.6253	bo
0.0558	0.8797	bo
-0.7958	-0.3739	b
-0.9193	0.3188	bo
-0.0441	-0.8095	b
0.6839	0.7219	bo
-0.879	0.1289	bo
0.3276	-0.8819	b
0.5499	-0.5847	b
0.7113	-0.3709	b
-0.4663	-0.8321	b
-0.6322	-0.6528	b
-0.5218	0.6138	bo
0.6566	-0.7349	b
0.3089	0.9068	bo
0.0073	-0.8924	b
0.9322	0.0469	bo
0.0924	-0.9955	b
-0.6244	-0.524	b
-0.9378	-0.1652	b
0.626	0.7455	bo

